"","Cast_ID","Month","Location","Instrument_Time","Long","Lat","Mean_Pressure","Mean_Salinity","Mean_Temperature","Mean_Conductivity","Mean_Chloro","Mean_Turbidity","Mean_Par","Mean_DO","SD_Pressure","SD_Salinity","SD_Temperature","SD_Conductivity","SD_Chloro","SD_Turbidity","SD_Par","SD_DO","Min_Pressure","Min_Salinity","Min_Temperature","Min_Conductivity","Min_Chloro","Min_Turbidity","Min_Par","Min_DO","Max_Pressure","Max_Salinity","Max_Temperature","Max_Conductivity","Max_Chloro","Max_Turbidity","Max_Par","Max_DO"
"11","20230221_SH","February","Seahorse",1899-12-31 10:58:00,-64.86768,18.29469,4.0912258934592,36.0827734569983,26.0368094403237,5.56432867082631,0.0310211732973702,0.317925994605529,239.275603506406,6.86911032040472,0.0711648000000001,0.000593040000009152,0.00266867999999905,0.000376580399999965,0.01527078,0.00904385999999999,14.611023,0.0111194999999991,3.304,36.081,26.0304,5.563549,-8e-04,0.2894,202.56,6.8292,4.295,36.0842,26.0422,5.564994,0.0686,0.5096,280.23,6.8944
"12","20230222_BadCast","February","EB Short Cast",1899-12-31 11:10:00,NA,NA,0.99109915356711,26.8720169902913,41.8644931076179,5.60129263713592,0.892525755743652,0.318903143893591,228.048610084643,-6.05125533980583,0.0192737999999999,2.54399334,5.70652740000001,0.0274555281000005,0.0163086,0.00934037999999996,8.55460200000002,0.806312009999999,0.112,12.3978,29.8322,3.00547,-0.4114,-0.3152,0.10554,-165.8631,1.108,33.5545,57.0085,5.807851,44.4005,0.6194,2962.9,7.3339
"13","20230222_CB","February","Coral Bay",1899-12-31 10:14:00,-64.70439,18.33802,3.97966167664671,35.8953017964072,26.0151745508982,5.53630952769461,0.172207110778443,0.719878068862275,408.327245508982,6.83677761976048,0.0348410999999998,0.0938485799999972,0.133656390000002,0.00106895459999996,0.01734642,0.02846592,103.648566,0.0237216,3.101,35.4498,25.7961,5.533791,0.1235,0.6472,239.52,6.7474,4.092,36.0522,26.596,5.539968,0.221,1.0489,1047.4,6.8943
"14","20230222_EB","February","Europa Bay",1899-12-31 11:14:00,-64.73115,18.31547,3.06992156862745,31.9932696078431,32.4513937254902,5.59504962352941,-0.00848620689655172,0.336535490196078,194.46668627451,6.43095352941176,0.1942206,3.09277773,4.87412163,0.0224072751,0.01423296,0.01593795,9.56277,0.3587892,2.648,24.756,23.0462,5.544722,-0.042,0.3144,173.54,5.3421,3.647,38.4216,47.0157,5.668634,0.015,0.4008,249.58,7.1729
"15","20230222_FB","February","Fish Bay",1899-12-31 12:20:00,-64.76469,18.31329,3.44306428571429,35.6604376436782,26.6870553008596,5.57582915616046,0.007987,0.338682857142857,234.3745,6.82861867816092,0.0763538999999998,0.155376479999996,0.212234189999998,0.00143886330000031,0.01423296,0.00963690000000001,17.450202,0.0603418199999996,2.65,33.8679,26.1436,5.572469,-0.0111,0.314,192.55,6.5841,3.645,36.0784,29.2034,5.585343,0.0356,0.3696,277.03,7.0115
"16","20230222_MB","February","Magens Bay",1899-12-31 14:05:00,-64.93467,18.37433,3.56989398958826,36.0302363377609,25.8918122390892,5.54150727591103,0.124132513014671,0.699726076668244,210.569151443445,7.4779465370019,0.0681995999999997,0.00222390000000008,0.0229802999999991,0.00258120659999999,0.06019356,0.08109822,87.76992,0.0527064300000003,2.768,35.3554,25.8085,5.532627,0.0322,0.4891,62.261,7.1164,3.767,36.0832,26.9538,5.565775,0.3762,1.5084,323.21,7.5826
"17","20230222_N_FB","February","Nemeth Fish Bay",1899-12-31 12:07:00,-64.7613,18.3155,2.6277455867082,35.6147951092612,26.6912579604579,5.56989764382139,-0.0120343717549325,0.343115160955348,433.555939771547,6.89434464099896,0.0415128,0.163085999999999,0.222389999999998,0.00167385539999958,0.01734642,0.01126776,155.702652,0.0238698599999997,1.762,32.5177,26.1285,5.565339,-0.145,0.2954,178.46,6.551,2.752,36.028,31.2207,5.589382,0.1029,0.4246,2296.3,7.0364
"18","20230222_RB","February","Reef Bay",1899-12-31 11:40:00,-64.7478,18.31937,2.55045896656535,35.7346380952381,26.548290070922,5.57120694934144,-0.0200970618034448,0.313072441742655,146.905298885512,6.80521621073961,0.0207563999999997,0.208601820000004,0.2713158,0.00141291779999997,0.01734642,0.00948863999999994,17.0499,0.02653854,1.64,34.7848,26.0722,5.566813,-0.0763,0.2716,105.15,6.7045,2.637,36.0856,27.8428,5.575628,0.048,0.3523,538.91,6.8691
"19","20230222_RBEO","February","Reef Bay East Outer",1899-12-31 11:22:00,-64.74002,18.31698,2.27376915005247,25.0352231899265,45.6500227701994,5.58512703252886,22.2759738719832,24.5106360965373,469.048940188877,-14.7505453305352,0.0489258000000005,1.52648496,3.83192795999999,0.0198801834000003,0.015270779999996,0.000593039999998618,48.673758,0.30333996,1.427,18.9337,27.0805,5.500846,22.2428,24.5062,169.27,-147.1735,2.418,34.8234,65.4803,5.679054,22.3114,24.5128,2427.7,6.7835
"20","20230222_RBWI","February","Reef Bay West Inner",1899-12-31 11:50:00,-64.74883,18.32119,2.88798156682028,35.6421905202312,26.7633812716763,5.58145428571429,-0.0235084101382488,0.306791589861751,171.049850230415,6.77606959537572,0.0481844999999996,0.173464199999996,0.229506480000002,0.00140995259999956,0.01527078,0.00874734000000002,17.64294,0.0241663800000003,2.05,33.6977,26.1711,5.577139,-0.044,0.2894,142.32,6.5569,3.031,36.0846,29.526,5.593683,0.0027,0.3209,303.61,6.8589
